EnrollmentNo,sub1,sub2,sub3,sub4,sub5
E1567,62,78,69,83,60
E8372,61,50,80,88,97
E7311,48,64,94,76,61
E0125,46,77,72,82,47
E0699,52,48,100,82,53
E2553,47,100,48,60,45
E3128,62,69,55,69,54
E4549,62,90,77,63,43
E8668,57,41,41,84,95
E4649,73,93,69,53,82
E3667,95,87,70,74,45
E6396,92,77,72,44,68
E7410,40,66,88,89,48
E0460,61,82,99,100,66
E5882,51,52,51,80,97
E8132,71,57,97,91,58
E0580,79,56,52,56,77
E8485,85,51,91,97,43
E0675,81,100,90,42,68
E4005,99,69,70,50,67
E4140,64,91,82,76,83
E0476,76,51,69,95,58
E7813,51,87,62,89,99
E9161,70,77,52,50,48
E6691,49,88,75,88,99
E0717,79,84,86,68,49
E5727,80,83,55,74,69
E5363,52,53,41,97,63
E1321,52,88,84,79,80
E4424,78,47,88,59,92
E5082,48,80,91,93,97
E9948,44,52,78,50,64
E3254,42,59,57,93,55
E3223,56,60,87,85,67
E8122,42,63,61,48,58
E3954,80,64,100,65,92
E1306,49,96,70,100,95
E1857,84,60,54,47,59
E0470,87,83,54,56,69
E2691,55,95,79,62,45
E7132,71,94,88,74,61
E8444,89,69,69,71,72
E2528,52,48,76,52,64
E0639,95,42,94,90,71
E1124,93,96,74,90,62
E2008,81,78,91,53,100
E2613,70,98,66,98,81
E1257,44,40,54,56,59
E1471,42,98,93,65,85
E1080,66,74,50,87,58
E6054,71,96,84,79,54
E3193,82,92,61,96,87
E2082,46,43,74,100,81
E7622,53,96,94,48,88
E8014,90,79,88,44,90
E9017,80,60,93,45,53
E5506,43,53,78,80,40
E8597,73,89,57,88,61
E5590,53,85,84,48,60
E0625,60,71,47,44,88
E8836,95,52,59,78,96
E1723,94,55,71,76,80
E5986,67,62,50,94,88
E1475,58,93,53,61,44
E9466,52,94,89,84,85
E6954,88,77,41,48,83
E7929,43,51,98,65,49
E3631,89,50,83,43,90
E1750,91,81,57,100,73
E5762,44,67,50,73,79
E9222,68,71,88,63,98
E9688,67,64,81,43,44
E5966,66,42,57,46,75
E6088,66,60,67,47,55
E9798,77,63,63,52,42
E9822,97,51,58,98,57
E1685,100,77,70,96,78
E9551,91,65,84,56,72
E1519,45,77,94,62,96
E3140,41,58,66,41,43
E6914,78,93,50,53,47
E9483,52,44,58,93,56
E9062,49,42,78,96,50
E8358,68,87,92,84,88
E1006,57,93,67,42,71
E3484,65,97,65,89,71
E4061,84,59,90,92,98
E4181,59,55,42,86,70
E8226,69,64,75,48,61
E1449,94,45,81,87,95
E4283,76,77,75,81,93
E5281,43,87,56,60,74
E3053,56,88,78,88,89
E2447,48,64,70,44,57
E3523,82,76,74,88,64
E8577,67,70,43,91,49
E5276,88,60,94,55,90
E4522,54,72,68,53,44
E1139,69,91,92,79,47
E9367,52,98,79,77,82
E6586,65,53,77,94,48
E8055,84,88,61,76,68
E4754,91,73,45,40,72
E4593,42,81,66,59,92
E0949,53,71,86,44,87
E3305,48,89,95,70,56
E8600,56,49,55,96,69
E9412,55,83,75,88,41
E0190,77,79,40,44,91
E3546,98,42,67,58,74
E3953,52,89,49,94,85
E7770,46,83,99,52,64
E8222,71,55,98,50,61
E5458,87,64,94,98,75
E7151,46,81,98,64,70
E0635,81,88,76,63,84
E5365,74,61,67,55,75
E2310,94,89,65,55,71
E9964,51,89,99,40,59
E4115,73,80,51,81,93
E5860,49,85,68,47,81
E0194,47,45,51,48,100
E8073,82,79,60,66,84
E5387,52,83,92,82,47
E1775,83,73,75,55,57
E1514,99,94,58,64,40
E3076,95,80,96,48,94
E9786,99,44,67,69,52
E6170,96,54,57,89,56
E0503,80,73,60,91,68
E7019,54,100,87,44,65
E8725,60,82,93,69,66
E6659,50,91,52,43,81
E1370,100,48,65,66,68
E6385,42,64,49,98,54
E0922,65,72,40,99,62
E3596,69,85,74,98,89
E3100,95,80,63,72,57
E6440,91,63,67,100,75
E1654,73,50,61,63,98
E4097,62,95,97,52,80
E6113,70,79,75,95,60
E8079,76,48,96,80,67
E5262,63,78,91,55,85
E0731,95,62,58,77,94
E4459,93,99,70,82,42
E6767,48,64,78,92,96
E6992,95,61,84,65,63
E4118,47,58,90,81,75
E7889,89,53,97,65,85
E6846,50,86,66,83,44
E5378,97,49,81,86,49
E2808,75,67,63,79,79
E7656,43,48,96,63,59
E3992,80,40,83,58,51
E9536,54,97,66,53,77
E5554,91,51,68,45,40
E3129,73,77,88,76,40
E5734,90,70,66,62,82
E2266,88,47,83,100,54
E5954,51,75,88,80,80
E3514,94,78,66,99,100
E4247,44,43,95,57,66
E7476,83,47,44,67,74
E7413,98,62,89,56,88
E8671,78,68,48,77,55
E6958,50,90,43,75,87
E4299,42,62,66,89,61
E4367,79,91,98,74,91
E1704,59,92,50,44,79
E2670,63,52,43,49,49
E0314,81,47,68,56,59
E2874,53,50,47,43,84
E6655,75,48,58,42,67
E9270,49,82,72,91,55
E5038,93,41,50,81,75
E9516,63,95,53,58,51
E3699,63,50,68,40,58
E1026,96,57,78,73,68
E6956,85,43,67,40,64
E5454,52,69,47,57,82
E7084,44,65,55,72,96
E8427,44,43,66,92,74
E3440,77,45,100,89,86
E7035,75,44,81,57,48
E4867,43,80,79,93,47
E9594,56,87,89,46,92
E9364,75,55,59,100,91
E8884,79,97,57,98,89
E8945,48,63,77,54,97
E6568,90,62,89,54,80
E6738,95,65,50,90,74
E2290,55,64,94,81,53
E7410,71,74,63,43,94
E0928,46,97,99,74,40
E3100,69,58,73,88,47
E5537,76,88,77,99,100
E6568,51,72,64,50,58
E6122,87,96,74,43,67
E1690,74,57,55,90,65
E2860,98,72,75,82,76
E5523,85,53,46,66,86
E1856,58,79,64,57,56
E8610,47,98,63,56,41
E4251,62,56,59,40,92
E3153,82,52,67,93,51
E0509,52,93,76,86,80
E6455,79,94,47,97,53
E6108,55,47,85,50,69
E3521,78,84,50,58,99
E8549,98,77,64,83,98
E2038,64,49,81,55,75
E0569,87,77,65,85,95
E0191,85,53,88,43,74
E7412,69,57,92,47,71
E8490,78,43,76,96,42
E1316,96,64,73,86,91
E2509,50,76,74,84,90
E0183,53,44,67,42,67
E6613,72,79,76,50,70
E9538,58,91,73,74,77
E3908,97,98,68,75,50
E5116,55,59,98,52,54
E5292,84,58,48,78,82
E5893,87,68,100,100,70
E0454,49,58,93,42,60
E5568,45,43,69,72,68
E8307,47,68,84,100,77
E1572,65,98,42,88,57
E9198,55,82,75,92,60
E4048,43,58,54,93,73
E2729,85,65,98,53,74
E7169,59,82,56,97,51
E5869,83,62,49,82,47
E6335,57,42,93,48,88
E3302,82,57,68,46,52
E7009,57,72,84,60,88
E5818,98,74,40,56,88
E8947,43,87,75,68,75
E8249,100,61,40,72,59
E8805,67,67,87,92,62
E0280,93,52,76,90,48
E1128,40,53,78,80,50
E5453,71,66,79,87,43
E0222,71,43,82,48,44
E7154,48,54,54,91,52
E7290,63,59,54,55,73
E9311,80,67,88,66,95
E0821,54,98,76,93,48
E8653,48,73,79,66,59
E6142,54,90,89,89,63
E5673,95,86,43,59,51
E0156,42,61,45,43,61
E9110,95,75,49,89,51
E1807,60,88,66,73,70
E8261,76,56,43,65,70
E3846,47,54,91,77,62
E8125,68,83,73,99,92
E9250,83,48,67,72,97
E6733,78,100,53,63,74
E4617,49,68,76,48,63
E9111,52,57,53,94,58
E9166,41,48,88,61,97
E5392,53,89,100,52,68
E8779,49,74,46,98,64
E9769,81,97,96,79,44
E0692,64,86,96,43,82
E5034,53,55,67,100,57
E5180,75,92,61,43,99
E2231,53,59,67,60,98
E3579,43,45,57,40,62
E8221,96,43,79,55,48
E9776,71,64,91,94,87
E9205,79,41,97,90,60
E0232,48,76,49,86,45
E2959,44,47,78,75,100
E5539,88,78,89,41,85
E9771,51,96,83,52,88
E0231,65,48,96,73,75
E4046,83,82,100,61,87
E3689,55,84,62,64,56
E4871,81,43,61,74,48
E5933,48,72,46,75,91
E1720,52,84,69,44,95
E2249,77,60,80,43,100
E0531,86,59,93,59,76
E8251,62,70,84,40,59
E6778,61,64,58,44,40
E1000,81,66,58,54,82
E6394,46,44,97,70,78
E0382,44,89,90,56,41
E2057,52,88,59,50,53
E9708,82,69,76,100,56
E2973,66,89,83,87,44
E9291,79,64,63,81,93
E4016,53,84,81,88,100
E3911,91,58,47,92,79
E9801,48,40,85,87,73
E7335,81,60,89,94,84
E3880,100,55,48,84,58
E4039,41,75,97,88,57
E0401,71,45,55,73,40
E9903,48,83,53,41,42
E1673,62,78,50,98,95
E8555,95,61,48,64,80
E1011,86,51,62,43,52
E5176,58,47,49,94,42
E5718,57,43,54,84,72
E8032,72,40,47,47,60
E7902,53,51,57,42,41
E2109,56,64,70,52,60
E1474,66,93,51,75,63
E2258,93,69,73,80,64
E3183,58,98,66,97,56
E5862,99,97,86,91,74
E0464,94,40,66,57,64
E5891,70,86,76,55,55
E8252,59,97,41,54,75
E4303,59,43,75,85,63
E7402,95,40,96,99,74
E1331,40,64,91,88,78
E2686,88,47,78,54,72
E3641,80,95,48,62,48
E2488,93,78,50,83,53
E0162,66,51,94,42,40
E5833,87,92,99,82,97
E7370,52,95,46,59,59
E6835,60,83,85,59,95
E4178,64,93,44,66,54
E8131,86,43,74,55,49
E2621,52,68,40,57,75
E8850,43,68,81,100,40
E6689,56,50,94,65,41
E0043,80,90,45,41,71
E9543,53,65,61,100,48
E2989,93,95,57,62,85
E4223,57,81,81,50,85
E2834,73,66,41,58,99
E0848,52,75,40,77,84
E3795,93,98,55,68,92
E8925,41,59,84,41,89
E0714,98,57,98,83,45
E9032,65,59,63,94,52
E7140,63,65,85,70,79
E8535,57,79,52,67,99
E6187,97,43,87,69,49
E0091,85,82,71,51,71
E3240,75,63,52,86,55
E3368,71,69,86,55,96
E8987,51,59,72,50,60
E2531,63,67,99,90,83
E8809,56,76,44,80,62
E8430,77,92,79,90,60
E6881,94,41,78,65,68
E1722,89,45,97,44,45
E3286,48,41,99,87,52
E9847,78,72,57,81,96
E3691,73,79,74,70,98
E9705,67,90,77,63,89
E2442,59,73,50,61,57
E6838,52,69,89,83,73
E7141,61,58,90,89,70
E9813,88,46,61,47,76
E0000,41,45,100,48,97
E2373,82,68,55,97,80
E4331,67,74,95,78,67
E8680,93,40,99,88,89
E0341,73,61,79,54,50
E8979,99,84,52,87,82
E0951,70,100,97,82,40
E6652,95,71,74,89,78
E6734,71,62,97,96,99
E9087,90,58,86,83,73
E5769,58,56,82,42,43
E6758,88,82,94,72,99
E7170,67,70,41,74,56
E1961,62,74,53,60,58
E9374,96,49,44,56,58
E4375,85,75,97,47,74
E2847,84,75,62,79,52
E9693,72,71,72,55,53
E9377,86,48,46,64,60
E2118,100,70,47,68,79
E9337,82,79,87,75,41
E0206,90,41,73,48,58
E1171,90,82,93,82,91
E0448,58,94,87,93,91
E3972,82,93,94,62,93
E8205,61,61,81,48,73
E4894,52,50,87,85,68
E0784,90,97,84,69,51
E5932,100,40,51,49,82
E2864,68,71,65,60,79
E2782,46,54,96,94,72
E0212,79,56,100,87,100
E3713,87,64,41,54,43
E5257,43,97,76,44,61
E2323,65,78,90,77,68
E6433,77,67,66,95,70
E4396,67,89,98,86,81
E9944,77,75,46,56,93
E9837,46,62,66,66,80
E7288,47,96,77,50,42
E5344,100,57,95,89,88
E3024,71,98,77,77,70
E4967,84,60,53,52,74
E8246,66,84,40,65,81
E1776,66,98,84,67,55
E4872,55,80,47,71,70
E5585,88,68,51,87,56
E8101,96,76,90,100,70
E3924,81,84,75,92,64
E3496,95,66,61,64,96
E4596,72,59,74,45,48
E5957,58,89,69,64,55
E6097,71,91,47,95,72
E2549,83,62,65,75,64
E8195,55,67,82,55,59
E8598,86,51,79,88,84
E4994,60,50,86,41,76
E7230,54,47,69,58,65
E9431,63,49,55,63,90
E4113,71,87,45,74,49
E3609,72,100,98,58,98
E8048,40,85,90,84,56
E8294,52,48,86,53,62
E4748,44,89,65,87,48
E4117,71,41,66,56,74
E5943,85,94,71,42,56
E0848,43,84,70,58,87
E9971,42,88,73,66,77
E7627,62,64,63,51,54
E7957,99,80,72,77,60
E8012,71,93,91,42,76
E4829,92,96,56,47,74
E2477,43,58,61,67,51
E8897,93,98,74,83,70
E1107,89,89,52,74,77
E7768,80,45,70,88,64
E0115,63,55,100,71,55
E3835,59,52,91,83,49
E7769,95,59,55,68,97
E8911,46,40,63,45,81
E2709,46,81,73,100,87
E2900,51,59,71,96,54
E6463,44,60,48,43,91
E8214,41,46,51,51,99
E2922,83,78,83,73,61
E6077,98,66,78,89,55
E4655,64,95,48,57,74
E4932,89,64,52,43,55
E2483,70,55,55,45,81
E4054,63,46,80,73,57
E0673,93,83,45,59,40
E3842,81,76,72,88,53
E0587,60,69,99,79,88
E8390,93,47,78,50,63
E2736,72,51,52,45,43
E6732,87,48,61,96,46
E8846,40,98,78,100,42
E3395,63,58,40,76,62
E4822,51,45,49,61,63
E7440,54,49,100,99,100
E3610,57,72,89,42,54
E3779,70,100,75,55,93
E0329,75,71,94,50,90
E9012,92,73,62,54,100
E0175,62,76,93,54,79
E4320,69,77,46,99,43
E2986,57,70,70,58,70
E0784,66,43,63,93,79
E5249,60,73,41,61,43
E5780,49,41,59,89,65
E4009,50,43,70,53,93
E5686,63,84,85,54,90
E6183,50,90,96,61,99
E7868,81,58,96,63,81
E6180,72,50,70,82,68
E4156,95,76,96,79,91
E7647,59,55,51,53,66
E1729,50,50,61,53,95
E1749,61,46,46,73,95
E0090,73,51,68,89,64
E0226,83,78,72,100,84
E7653,40,69,43,42,86
E3179,51,69,47,84,98
E9745,44,65,80,96,54
E1291,74,98,72,94,68
E1929,90,87,89,82,84
E3550,92,76,51,84,80
E6484,65,85,90,65,49
E3552,88,85,81,60,92
E3919,68,95,96,53,81
E9273,91,86,100,44,95
E5575,81,79,72,93,80
E6946,100,78,99,84,96
E5588,90,86,95,63,72
E8010,91,87,96,75,44
E6807,53,45,86,67,42
E1317,67,62,94,96,84
E6471,61,50,79,69,95
E4238,88,57,70,68,49
E2686,95,50,97,54,51
E7403,44,81,53,90,48
E7488,49,89,61,76,69
E0060,62,65,95,99,89
E3853,48,86,67,94,86
E6499,86,68,47,91,96
E0666,93,66,93,65,76
E2159,57,92,64,42,55
E1599,58,66,44,75,71
E1005,52,85,86,57,69
E9008,41,94,52,78,74
E2854,75,94,84,99,59
E7335,63,78,54,60,49
E1495,88,76,100,80,45
E0251,64,60,94,87,65
E4036,54,70,70,61,41
E3762,47,90,69,94,96
E9944,40,54,48,75,76
E5457,70,49,40,72,52
E5493,81,46,76,96,73
E1537,64,95,40,80,74
E7050,48,62,76,74,80
E6302,88,93,69,41,79
E1022,54,96,73,68,74
E2728,93,44,76,100,43
E3204,71,61,48,82,62
E0672,68,67,56,84,81
E0687,44,59,79,98,89
E2954,42,55,51,66,73
E5607,77,54,54,57,92
E1809,95,47,59,74,88
E3145,85,88,100,89,78
E1063,68,42,78,65,80
E4717,89,48,96,68,49
E5936,77,83,96,100,56
E2081,74,85,67,91,66
E7857,87,76,93,87,76
E4697,50,54,49,58,87
E5412,41,85,41,96,44
E5083,84,67,43,51,74
E1147,83,76,86,49,77
E2454,67,96,78,87,62
E8639,58,76,54,69,51
E2908,48,73,61,43,51
E1578,90,52,90,41,66
E2693,95,74,62,51,59
E6412,55,48,81,74,55
E8206,85,100,88,98,53
E8913,85,74,93,57,40
E8363,44,59,92,57,43
E1960,76,81,61,80,44
E2321,86,94,89,85,100
E5744,96,85,72,92,99
E0694,45,76,93,66,67
E8493,68,73,63,63,46
E3569,40,58,89,66,71
E6958,70,62,63,48,91
E1797,50,47,54,45,53
E5470,69,92,84,96,79
E0325,61,59,58,86,80
E2284,69,46,44,41,94
E8709,96,79,78,93,94
E6574,71,63,89,96,55
E2347,64,75,88,71,54
E0780,83,86,94,77,88
E0660,67,47,91,96,74
E7783,45,71,82,60,90
E4236,80,96,44,41,77
E1152,90,40,90,80,70
E9260,52,41,42,80,93
E5503,57,97,41,61,42
E2907,98,95,94,59,43
E7619,50,73,80,44,55
E4721,63,96,44,70,56
E6403,94,58,64,92,47
E1071,75,90,41,93,92
E7434,94,54,88,72,84
E7162,53,99,97,50,69
E7729,46,46,42,79,48
E7919,59,100,90,80,100
E4237,50,65,93,53,77
E4295,83,91,77,96,62
E7429,92,86,92,54,77
E1255,41,90,90,65,95
E9499,86,94,55,80,40
E7331,86,45,98,71,86
E9412,54,67,42,95,74
E5491,82,61,48,43,92
E8873,53,57,53,53,56
E7898,50,58,55,42,46
E2675,98,48,100,49,76
E8470,45,62,77,83,49
E3435,46,95,45,59,86
E9950,81,95,94,69,100
E6532,42,53,94,59,46
E1003,46,81,52,54,53
E9277,93,84,62,46,78
E1642,45,46,53,59,55
E9725,64,94,67,50,68
E3031,95,78,63,69,43
E6973,57,78,41,95,43
E1064,97,48,49,98,97
E5167,47,51,80,60,57
E0412,57,73,64,69,72
E5281,44,65,95,81,100
E2351,49,97,96,97,88
E4657,48,55,55,93,54
E7588,81,47,92,42,43
E9320,67,53,64,53,87
E8213,46,96,73,100,87
E4346,63,68,51,96,51
E7968,51,62,42,61,60
E7046,52,96,50,60,95
E1077,100,94,45,59,100
E9916,70,65,56,42,82
E3013,77,100,69,81,71
E5261,50,57,76,66,49
E2688,85,68,77,56,62
E6004,93,99,71,50,52
E9372,83,82,80,41,85
E7530,44,53,64,43,52
E7595,40,80,84,77,80
E0888,89,94,65,44,92
E1918,99,41,96,89,56
E3461,49,46,49,46,56
E2241,58,42,76,47,52
E3477,69,98,99,65,58
E1469,90,89,81,44,98
E0430,46,80,85,73,82
E7343,52,46,96,78,76
E0676,68,46,81,54,59
E7528,87,68,53,64,54
E7056,93,43,77,73,47
E8320,81,69,100,73,60
E7118,71,74,52,96,99
E0760,78,88,77,74,64
E4168,75,86,64,77,60
E3415,86,65,98,96,84
E4374,89,67,94,45,59
E0584,85,70,56,67,57
E3208,47,99,97,84,65
E1568,41,75,80,43,59
E3025,78,77,43,100,83
E6654,92,41,45,71,91
E7809,56,90,60,41,95
E7711,69,43,80,61,86
E7325,40,64,45,67,81
E9065,69,48,59,80,89
E3301,84,92,100,71,96
E2238,84,90,91,69,66
E1946,62,44,84,63,82
E5207,63,72,85,86,62
E4244,43,65,85,100,95
E5226,57,57,62,81,58
E2770,54,92,89,90,95
E4225,76,86,71,42,76
E5761,69,62,43,59,75
E8235,74,99,87,59,85
E9560,74,53,49,60,72
E8213,80,68,91,61,99
E2156,52,87,56,57,84
E7304,79,84,74,95,50
E6715,47,50,52,83,99
E6564,41,83,85,79,65
E0692,81,40,84,97,59
E5381,52,42,83,43,88
E8382,68,52,98,85,93
E8136,41,76,64,93,62
E6579,78,89,53,93,53
E1230,97,59,42,42,79
E4789,40,42,94,78,65
E6615,41,71,50,67,91
E3728,51,96,43,69,51
E8645,49,47,46,81,77
E7225,68,91,96,58,53
E1064,74,93,80,84,82
E4399,100,82,61,57,60
E8336,90,61,51,98,75
E9624,71,65,86,44,71
E2778,42,48,73,48,47
E9197,100,70,84,95,87
E9895,74,93,82,79,53
E0110,87,75,47,65,83
E7848,61,85,86,72,94
E2449,85,85,42,73,80
E6583,94,56,96,91,94
E5603,45,100,44,70,40
E0011,56,60,94,96,68
E4229,68,63,63,72,82
E4028,81,52,42,69,81
E3933,52,42,84,75,76
E0017,98,72,81,69,80
E4924,97,73,45,63,51
E3394,96,100,77,49,67
E5975,62,59,85,99,95
E9098,41,51,62,60,68
E2228,76,43,98,100,95
E4642,58,73,52,44,76
E9734,81,95,57,55,90
E5201,84,69,92,62,73
E5912,64,94,48,87,61
E8153,69,88,45,48,85
E0190,96,56,58,41,57
E4921,97,71,62,87,82
E0717,79,63,69,88,81
E9605,63,62,99,55,60
E7458,78,42,50,72,44
E5775,100,47,85,85,68
E5999,73,74,95,88,63
E2055,41,97,61,70,82
E8467,94,69,42,52,76
E9900,80,59,64,44,98
E8923,84,59,88,88,73
E6974,54,94,93,90,65
E0806,83,87,55,56,96
E4124,61,96,79,40,77
E7829,98,47,85,77,92
E8226,44,80,68,70,55
E5719,87,48,79,86,50
E2881,56,72,75,42,90
E7843,93,46,43,96,60
E4971,81,95,90,55,72
E1442,79,56,72,93,98
E6854,73,99,75,48,48
E5997,64,90,90,91,89
E2193,99,87,57,92,73
E4606,90,46,57,41,64
E9490,78,56,45,44,61
E7313,88,92,61,64,83
E7508,64,74,64,51,64
E3931,93,41,68,85,75
E9922,47,98,55,79,47
E9898,82,41,71,59,75
E4719,70,55,68,57,91
E2217,85,62,75,89,50
E5760,93,98,43,53,96
E2230,64,89,58,46,71
E4136,44,97,57,85,48
E2852,65,86,84,40,91
E9848,95,42,89,66,75
E6800,86,53,99,75,74
E9007,78,90,54,49,60
E8833,48,80,95,47,76
E2431,73,55,80,96,77
E2160,97,100,48,70,78
E7557,73,86,80,93,97
E8429,77,92,62,89,51
E4199,98,50,77,43,51
E5583,45,78,79,47,64
E8379,54,57,41,90,43
E5508,96,52,77,51,46
E8793,84,89,89,57,48
E0038,54,91,66,52,99
E4807,60,100,94,57,84
E4676,45,97,63,64,60
E2385,41,69,73,75,60
E9002,58,59,70,54,41
E9068,79,45,60,87,57
E6161,69,73,53,83,43
E1054,54,52,47,48,48
E1043,57,64,84,80,80
E6354,87,42,53,57,76
E9174,48,47,71,82,79
E2674,97,61,77,64,49
E4243,88,74,69,70,70
E1187,94,66,45,46,58
E7042,73,59,55,52,81
E8877,58,53,50,77,64
E8166,43,40,76,73,75
E0929,42,60,69,84,84
E3741,83,54,64,90,74
E7367,56,97,90,88,85
E4786,72,76,87,53,99
E5861,45,90,61,62,42
E2662,70,50,44,82,67
E6928,89,95,99,89,100
E1055,65,42,66,73,54
E2659,79,41,76,93,83
E0600,70,79,61,45,71
E0820,40,40,64,89,73
E7529,70,45,79,49,53
E0043,81,41,78,76,45
E6206,78,78,80,72,69
E8026,50,61,40,72,53
E9145,53,87,91,51,95
E7805,100,54,67,95,89
E8679,64,94,83,100,82
E6391,85,88,74,64,76
E1092,57,41,67,52,74
E3768,96,83,51,85,85
E0571,71,100,92,82,86
E1207,49,100,44,87,49
E4330,56,75,95,78,63
E9967,86,65,67,84,96
E8685,100,50,45,88,48
E6342,49,55,46,92,69
E8762,59,81,79,89,74
E5922,81,78,55,86,97
E0074,83,49,46,79,68
E4980,98,80,51,51,61
E1440,70,40,68,90,90
E6655,43,56,88,72,51
E7549,40,63,61,68,65
E7108,42,99,47,53,59
E8623,96,54,68,73,100
E4781,66,95,53,60,78
E9264,57,79,69,52,64
E2500,62,88,70,65,63
E3026,56,45,86,90,47
E7976,78,53,56,53,49
E5391,42,88,87,94,46
E9090,66,65,57,48,66
E7668,53,79,81,64,81
E7006,64,94,66,50,47
E9660,44,84,98,41,74
E3359,54,77,77,69,57
E6877,53,95,59,83,55
E0772,50,63,49,60,70
E0120,95,50,77,99,79
E7695,44,94,98,69,77
E8607,43,67,45,71,45
E7566,48,82,91,79,44
E2289,69,53,65,54,79
E5136,89,46,42,78,74
E8636,72,97,58,41,100
E3278,43,71,59,59,56
E1683,87,64,44,87,92
E7562,100,56,45,61,68
E8676,81,93,71,41,66
E7677,46,81,52,56,73
E1199,56,79,74,70,57
E1049,68,59,64,71,80
E8210,48,50,54,50,81
E8113,83,43,91,96,74
E4382,67,40,61,95,75
E8328,92,100,88,98,40
E9379,100,62,55,61,58
E4188,93,92,83,77,76
E3772,94,94,99,55,75
E6677,46,88,84,78,100
E6536,41,87,94,93,58
E3034,78,85,41,92,44
E4958,65,78,59,77,94
E9960,40,54,76,89,69
E0064,49,84,55,51,79
E4092,56,98,60,98,47
E6628,85,51,81,99,86
E3470,79,81,88,73,87
E9240,93,53,57,51,40
E1682,67,82,74,89,78
E4336,80,72,76,69,57
E2595,98,83,57,85,77
E4076,47,74,79,81,70
E7509,83,79,41,50,62
E6719,84,46,70,75,96
E3955,76,77,51,45,60
E2252,43,79,45,76,72
E0758,88,76,88,67,64
E5932,67,95,52,54,77
E9154,51,54,69,64,64
E1347,70,71,45,88,42
E1626,71,88,97,76,48
E8866,94,96,100,52,41
E1415,81,91,82,65,40
E8264,62,46,98,87,56
E7464,96,68,91,100,45
E8066,92,73,87,47,89
E9991,96,86,42,77,74
E1108,77,56,40,90,40
E5359,84,40,57,44,94
E9693,43,82,68,61,57
E2087,88,89,68,61,86
E1961,49,92,40,81,55
E4602,55,42,55,42,53
E4817,86,84,98,89,70
E4143,69,54,94,97,49
E1275,77,100,96,50,83
E2237,74,49,52,96,52
E1676,69,42,55,79,72
E1749,76,59,43,90,85
E8664,73,42,86,86,96
E2800,97,50,65,89,77
E8805,47,79,99,100,81
E0709,74,88,64,97,83
E9385,60,62,49,79,85
E5931,59,84,84,83,85
E2123,40,84,61,74,65
E0037,76,77,59,78,79
E2023,65,58,62,72,54
E3399,55,63,82,61,86
E4987,89,94,84,98,48
E9774,59,69,62,85,67
E0777,84,46,79,46,70
E9885,72,91,46,68,98
E3517,62,54,41,65,88
E4608,75,93,42,69,40
E0545,54,53,76,48,58
E6135,79,59,94,62,81
E2741,48,98,42,43,61
E0836,60,65,54,97,87
E3524,44,99,95,93,90
E5445,43,99,82,91,85
E1994,79,77,40,79,81
E6087,98,71,51,59,72
E6961,80,56,64,94,94
E7847,63,93,60,45,92
E9978,86,42,75,48,73
E0951,67,95,47,70,62
E0335,67,42,85,89,46
E8890,70,47,73,77,73
E6548,46,87,96,92,47
E7222,68,45,43,89,76
E6547,59,40,82,57,45
E2169,71,65,59,74,77
E8190,59,90,64,98,87
E8967,89,80,94,50,58
E1793,75,79,77,93,61
E5257,54,42,62,87,47
E7114,45,44,72,99,41
E9631,49,95,72,89,72
E1842,82,100,91,52,92
E9049,87,56,70,52,57
E8877,95,74,61,89,97
E0264,45,42,55,79,63
E1859,80,52,56,89,48
E6741,41,89,99,91,62
E9062,58,76,75,57,68
E7619,50,68,84,75,75
E1456,87,87,81,54,72
E4819,52,50,87,88,64
E7068,47,57,93,53,48
E7912,54,73,87,73,47
E5798,95,57,82,94,48
E7425,41,69,63,68,48
E8509,42,84,64,43,66
E0639,84,88,93,74,75
E1815,82,73,98,100,93
E2749,42,94,91,40,52
E9817,52,65,93,76,81
E4104,46,79,46,66,57
E1278,97,59,85,63,72
E2651,98,57,74,72,60
E7810,65,45,45,84,70
E2079,82,42,83,58,55
E6936,92,97,78,69,42
E0059,85,55,87,46,52
E3035,98,45,86,95,56
E4609,79,48,49,53,67
E8637,61,41,61,76,77
E3761,71,76,57,53,68
E1643,74,98,97,93,54
E4775,55,93,94,88,76
E7466,69,90,87,71,55
E1154,53,88,75,49,57
E2325,40,87,86,55,52
E9389,52,75,95,43,48
E2043,53,78,66,86,83
E8699,57,85,77,91,100
E9302,63,50,72,63,40
E7600,51,71,50,88,77
E7820,74,58,81,77,93
E9009,52,95,100,57,95
E7415,89,69,44,60,61
E6265,48,50,40,88,98
E3391,55,100,80,100,52
E5087,86,48,84,77,58
E2793,90,76,65,82,73
E4593,98,83,53,50,74
E3813,76,73,85,63,71
E3104,58,59,51,50,63
E1553,62,76,60,86,41
E5263,100,48,63,43,73
E1905,51,58,52,44,84
E8427,70,79,70,66,90
E7593,93,89,46,80,52
E0235,80,80,56,70,50
E0306,93,41,43,93,53
E0799,56,51,50,96,89
E6948,63,75,85,45,87
E9820,63,46,85,45,44
E6000,72,47,44,81,66
E5164,51,57,57,71,58
E4860,100,96,57,73,49
E4490,55,69,99,77,79
E4033,84,44,95,54,61
E3470,97,63,86,77,86
E5379,57,90,96,91,47
E8644,59,64,70,47,63
E0626,89,47,98,75,90
E1270,87,46,88,60,76
E8027,99,60,51,40,50
E7215,42,79,79,46,88
E7446,46,40,94,61,49
E4836,79,99,55,72,88
E3974,84,57,50,74,52
