EnrollmentNo,choice1,choice2, choice3,choice4,choice5,choice6,choice7, choice8,choice9,choice10
E9708,C4790-ME,C6014-CSE,C6200-IT,C4501-CH,C9896-ME,C6900-IT,C1470-CSE,C6978-EC,C4212-IC,C2525-ME
E1673,C6879-ME,C4849-ME,C1570-EC,C1376-CH,C9712-EE,C8804-EC,C1932-CSE,C8804-IT,C1570-Civil,C9015-IC
E3550,C7933-Auto,C7410-CH,C5668-CSE,C4790-ME,C5111-CSE,C7168-Civil,C1376-CH,C6968-IC,C2800-Civil,C4206-CH
E2081,C4340-CH,C1470-CSE,C9443-EE,C5597-Auto,C9435-EC,C6968-EC,C4826-CSE,C9896-ME,C2800-EC,C2661-EE
E8320,C4826-IT,C6968-Auto,C4826-EE,C8804-Civil,C1510-EE,C2490-Auto,C9763-IT,C4501-EE,C7510-CSE,C4849-EC
E5760,C2525-IC,C4826-EE,C4449-ME,C2661-Civil,C1510-Auto,C9443-EE,C9712-EE,C1376-EC,C6900-Civil,C2310-IC
E0758,C9712-Civil,C1470-Auto,C9118-CSE,C9435-ME,C9118-EE,C1570-ME,C2010-CSE,C2525-ME,C7667-Auto,C9443-CSE
E8866,C6978-EC,C0871-EC,C9015-EE,C2800-IT,C8895-EC,C5005-ME,C2010-CSE,C1376-CH,C4212-Civil,C4340-EE
E8664,C7667-CSE,C4826-IC,C1664-IT,C4501-EC,C2800-EC,C7330-CSE,C4449-IT,C1470-Civil,C9118-IT,C4849-ME
E7820,C6879-EC,C5005-Civil,C8911-Auto,C2525-Auto,C1470-Auto,C7933-CSE,C9015-EE,C1664-CSE,C1510-Civil,C6978-Auto
E3820,C6968-EE,C2661-Auto,C7667-ME,C6014-CH,C9712-EC,C1376-CSE,C2661-EC,C2220-Auto,C4849-EE,C8132-Civil
E5935,C4340-EC,C6200-Civil,C6978-Civil,C7330-CSE,C2310-EC,C1570-ME,C7168-ME,C1664-IT,C4790-EE,C5111-EC
E9619,C8895-EE,C2661-Auto,C2010-EE,C9435-IT,C9118-IC,C6978-CH,C1664-CH,C9712-EE,C2310-CSE,C7330-IC
E8071,C1932-IC,C9443-IT,C4212-Civil,C4340-EC,C7667-Civil,C1932-ME,C1570-Civil,C2010-IT,C7667-EC,C7168-EC
E7045,C8895-ME,C7667-Auto,C9763-IT,C4212-Civil,C5597-EC,C4206-EE,C6200-ME,C0871-CSE,C9118-IC,C6968-EC
E0068,C1376-Civil,C9763-IC,C5597-CH,C0871-EC,C2220-IT,C9118-EC,C9435-ME,C6968-IT,C7168-Auto,C2800-Auto
E3597,C6200-Civil,C9712-CH,C1932-Auto,C4826-ME,C6978-ME,C9896-CSE,C7933-IC,C4212-Auto,C0060-Auto,C1664-IC
E6842,C0871-CH,C7667-EE,C4790-Auto,C1664-ME,C9763-Auto,C2525-CH,C4790-IT,C0871-IT,C8911-ME,C2010-IT
E8466,C4849-EC,C2310-EC,C0871-CH,C8911-IT,C4449-ME,C7410-Civil,C1470-ME,C1470-EC,C7330-Civil,C9763-CH
E0958,C9435-EC,C9435-CSE,C7510-ME,C2310-IT,C0060-CH,C9443-EE,C1510-EE,C9896-IT,C1570-CH,C6200-IC
E8442,C7330-Civil,C9435-EC,C7933-CSE,C8895-EC,C1510-IC,C9015-EE,C9763-Civil,C4449-IT,C4826-IT,C6968-IC
E3303,C9443-Auto,C6978-Auto,C6900-CH,C1570-ME,C7667-Auto,C8132-CH,C6978-IC,C4212-ME,C1570-CSE,C7168-CH
E5323,C7667-IT,C7933-EE,C6879-ME,C9015-CSE,C1510-ME,C7168-Civil,C2010-CH,C4340-Auto,C7410-EE,C4206-EE
E6547,C2010-EE,C6900-CSE,C7410-IC,C1510-ME,C9118-EE,C5005-EE,C7330-IC,C1932-Civil,C7510-CSE,C6900-EE
E3228,C4501-CSE,C4501-EE,C2220-IT,C4790-IT,C6900-CSE,C8804-Civil,C1570-ME,C8132-ME,C4501-ME,C6200-Civil
E1175,C2490-CSE,C4449-CSE,C7933-IC,C8132-EE,C6968-CSE,C5597-IT,C1376-ME,C4790-ME,C4849-IC,C5597-Civil
E7575,C2010-CSE,C1570-IT,C9118-CH,C6879-IT,C4849-CSE,C4849-Civil,C8895-CSE,C7667-IT,C2661-ME,C7510-Auto
E2763,C4212-Auto,C7168-Auto,C2490-EC,C4340-CSE,C9896-EE,C2661-IT,C4449-Civil,C0871-IT,C9435-IT,C4340-EC
E1824,C9015-Civil,C6968-ME,C2010-CH,C2310-EE,C7168-CH,C8132-IT,C4449-IC,C7330-EE,C6200-ME,C5111-Civil
E0200,C7510-CH,C9763-CSE,C4212-Auto,C5005-EC,C2490-CH,C7667-IT,C2220-Civil,C7510-IT,C5005-Auto,C5597-IC
E3698,C9443-Auto,C5668-CSE,C1570-ME,C9118-Civil,C4826-CH,C0060-CH,C4206-ME,C7667-EE,C7330-ME,C2220-EE
E1130,C4501-IC,C1376-CSE,C9015-Auto,C1570-EE,C4206-Civil,C4501-EC,C9443-EE,C6968-CH,C6968-IC,C2525-IT
E8937,C2490-IC,C1570-IC,C9443-Auto,C8895-IT,C4206-EC,C7330-Auto,C4790-Civil,C9015-CSE,C6879-CSE,C1470-IT
E6083,C9118-CSE,C0060-IC,C7933-CSE,C4206-IT,C2661-Auto,C9015-IT,C6200-CSE,C5597-CSE,C8132-Civil,C2220-Auto
E4173,C2220-EE,C4790-Auto,C7933-IT,C4212-Civil,C2220-ME,C6200-IT,C1510-IC,C0871-Civil,C6014-IC,C6879-IC
E0885,C5668-Auto,C0060-CSE,C0060-CSE,C1570-ME,C9435-IT,C4790-CSE,C4206-CH,C5005-IT,C9118-Auto,C9435-EC
E2277,C5668-Civil,C6968-Civil,C1932-Civil,C4501-IT,C7410-ME,C9712-EC,C1570-EE,C6900-CH,C4340-CSE,C5597-EE
E5889,C4212-Auto,C2800-IC,C9118-EC,C2525-IT,C9118-EE,C1470-CSE,C2010-EE,C7168-EC,C1932-CSE,C2490-ME
E4504,C6014-IT,C2490-EE,C2310-ME,C6900-CH,C4212-CSE,C9443-CSE,C0871-Civil,C9118-IT,C7510-EC,C1470-EE
E6835,C4826-Auto,C7168-EE,C1570-IC,C1470-IC,C6900-EC,C6900-CSE,C4340-EC,C9118-CSE,C6968-ME,C4340-ME
E2373,C7667-IT,C7168-CH,C1664-Auto,C8132-ME,C6978-CH,C7410-CH,C8895-ME,C1470-Auto,C4206-CH,C1932-EC
E3496,C9118-EC,C2010-CSE,C6900-IC,C9763-Civil,C4826-IT,C7667-ME,C2525-IC,C6200-Auto,C7410-IC,C1932-EE
E7304,C2525-CSE,C1570-CSE,C9435-EC,C1376-Auto,C9443-EE,C7667-Civil,C2310-EE,C2010-IC,C7330-Auto,C9896-EC
E8762,C4449-IT,C7510-IT,C0871-Civil,C0060-EC,C6968-CH,C1664-CH,C8895-EE,C4826-Auto,C2010-ME,C1570-CH
E7695,C6978-ME,C4826-ME,C1470-ME,C0871-IC,C2310-IC,C2800-ME,C7667-IT,C0060-IC,C1376-Civil,C2661-CSE
E6741,C4849-Auto,C7330-IT,C8132-CSE,C7410-IC,C4826-CSE,C6200-EC,C0060-IT,C1510-EC,C5005-Auto,C9712-IT
E0653,C0871-IT,C4849-Civil,C2525-CH,C2661-ME,C0871-CSE,C5668-IT,C2310-EE,C9118-ME,C1376-CSE,C6968-Auto
E1266,C4849-ME,C7933-CSE,C4849-IC,C8132-Civil,C5111-Civil,C5668-IC,C6978-Civil,C4501-ME,C4501-IT,C4449-IC
E6785,C6968-IT,C2800-EE,C4212-CSE,C7510-IC,C5111-ME,C5005-EE,C9015-IC,C5668-Civil,C6014-ME,C4826-IC
E7547,C6978-Civil,C1510-IC,C4206-EE,C2220-Auto,C6978-CSE,C1470-CH,C5597-Civil,C8895-IC,C6978-EC,C2010-CSE
E3552,C9435-ME,C9015-CSE,C4340-IC,C8895-IC,C1664-IT,C0060-ME,C5111-Auto,C6978-CSE,C8895-CH,C1664-IC
E1167,C7933-CSE,C4790-EE,C4206-CSE,C2525-CH,C1570-CSE,C2220-Auto,C4790-EC,C4790-Auto,C5597-EC,C9896-IC
E5788,C9118-EC,C6879-Civil,C4501-ME,C5111-IC,C4826-Auto,C5005-CSE,C4340-CH,C7330-CSE,C4212-IC,C6968-Auto
E9743,C2010-CH,C1932-IC,C4340-CSE,C9896-IT,C7933-EE,C5597-Civil,C2525-Civil,C2010-EE,C6200-IC,C5668-CSE
E2249,C2800-EE,C0871-EE,C7330-Auto,C7330-IC,C2310-Auto,C1570-EE,C7510-IC,C4212-CH,C5005-ME,C9118-EC
E2317,C6014-IC,C9712-IT,C9015-Auto,C9896-ME,C1510-Civil,C5005-Auto,C0871-IT,C6879-IC,C2220-Auto,C4449-Civil
E6891,C5597-EE,C2800-CH,C2310-ME,C9896-EC,C5111-EC,C6014-Civil,C9435-ME,C1570-EE,C5597-CSE,C9015-Auto
E9612,C5668-IT,C9443-CH,C9896-Civil,C7330-IT,C5668-IT,C2661-IC,C9763-IC,C9015-Civil,C9015-Civil,C1664-ME
E5800,C7510-Auto,C1470-CSE,C2310-EE,C1570-IC,C4849-IT,C1570-IT,C1470-ME,C9435-CH,C0060-IT,C2661-ME
E4552,C1376-CSE,C9118-Civil,C4340-IT,C4449-Civil,C8804-IT,C2661-EE,C6900-Auto,C8911-CH,C7410-ME,C7667-Auto
E7532,C2310-CSE,C5597-ME,C9015-Civil,C8895-IC,C9443-Civil,C7667-Auto,C2800-IT,C9015-CH,C4449-ME,C5597-Civil
E4738,C9015-CH,C5111-CH,C7330-IT,C4212-Civil,C5668-CH,C7667-EE,C4849-EC,C2220-IT,C6900-CH,C4501-CH
E3566,C0060-ME,C7330-CSE,C6978-CSE,C9763-IT,C4206-EC,C9443-Auto,C4340-IC,C9015-ME,C0060-EE,C8804-EE
E3603,C4826-CSE,C4449-CH,C8132-IC,C2661-EE,C4849-CSE,C0060-Civil,C1664-IT,C8132-Civil,C2525-EE,C6968-Civil
E9147,C6014-CH,C9443-EC,C6978-Auto,C2310-EE,C9015-CH,C9896-EC,C0871-CSE,C6978-IT,C6978-ME,C9896-CH
E2399,C7330-IC,C5597-EC,C0060-Auto,C2800-IT,C4206-Auto,C2220-EE,C2525-EE,C2490-EE,C4449-EE,C7330-EE
E9001,C7168-Civil,C2010-Auto,C6200-EC,C9015-EE,C5111-EC,C6014-EC,C4212-IT,C6978-CSE,C1376-EE,C4849-EE
E6645,C6879-Auto,C4449-CH,C4340-EC,C7933-CH,C4340-Auto,C6879-EC,C9118-IT,C2490-EE,C6978-EE,C7330-Auto
E3012,C0871-Auto,C4449-EE,C9896-EC,C1470-EC,C4449-EC,C6879-EE,C7330-EE,C9712-Civil,C6879-ME,C5668-CSE
E4273,C2661-IT,C5005-CH,C9443-Auto,C5005-Civil,C8804-IT,C4212-Civil,C6900-CSE,C2490-EE,C2220-EE,C2525-IC
E2822,C6879-CSE,C4449-IC,C1510-CH,C7667-CSE,C1664-CH,C9763-EC,C2010-EC,C9763-Civil,C8804-Civil,C1510-IT
E1652,C5111-CH,C4340-IT,C5668-CH,C9763-IT,C2010-IT,C9763-EC,C1376-EC,C0060-Civil,C9118-IC,C9712-EC
E3322,C4849-Civil,C2490-IC,C1570-CSE,C8804-CSE,C2661-EE,C9435-Civil,C7410-IT,C6879-Civil,C9015-EE,C5597-EE
E5890,C6900-EC,C5668-ME,C2490-CH,C1470-ME,C9712-EE,C2661-ME,C5668-EE,C8911-IC,C2800-EC,C7410-IC
E8889,C4849-CSE,C4340-Auto,C7410-IT,C1664-CSE,C7667-CSE,C4449-EE,C7510-EC,C6978-Auto,C4501-IC,C9712-EE
E0533,C9896-ME,C7667-IT,C6968-CH,C8911-EC,C5597-EE,C7168-IC,C2220-Auto,C2800-EC,C4206-CSE,C4849-CH
E2157,C4849-Auto,C1932-CSE,C1932-EE,C2525-EE,C9896-IT,C2800-IT,C0871-EE,C4790-IC,C7510-CSE,C5668-Auto
E1322,C5597-IT,C6879-Civil,C0060-IC,C9763-Auto,C1664-CH,C2800-CSE,C9712-EE,C4826-CH,C5668-EC,C4212-IT
E9864,C1376-Auto,C4501-Auto,C9118-CSE,C2800-EC,C6968-ME,C1664-EC,C9763-Auto,C6879-EC,C5111-EE,C2525-EE
E3435,C1932-CH,C7410-IT,C7510-EE,C8911-EC,C2220-EE,C5111-IC,C5005-Auto,C6900-CSE,C2800-CH,C6200-EE
E8582,C6200-Civil,C1376-EC,C2220-EC,C9435-Auto,C9118-IC,C8132-CSE,C6978-CH,C7410-CSE,C4212-IC,C8132-EE
E0675,C4826-ME,C4790-IT,C2490-Civil,C8911-Civil,C6879-IT,C4206-IC,C2310-EE,C5005-ME,C2490-EE,C7510-IC
E5539,C8804-Auto,C6200-CH,C6900-CSE,C4501-IC,C1376-IC,C7330-EE,C7510-EC,C6200-Civil,C8804-Auto,C4790-EE
E0714,C4340-Auto,C4501-ME,C9118-Auto,C8132-IC,C4501-ME,C1932-Civil,C9896-EC,C6978-Auto,C7168-Auto,C7933-Auto
E4331,C6968-CH,C9015-IC,C8804-ME,C4449-EE,C7667-EC,C2800-Civil,C8132-Auto,C9118-IT,C2490-EE,C0871-EE
E1107,C4826-IT,C7510-ME,C6900-EC,C6014-IC,C9435-ME,C8895-EC,C6978-IT,C6978-ME,C5005-IT,C1510-Auto
E9012,C6978-IC,C5597-ME,C2220-CH,C7410-ME,C9435-Civil,C4212-EE,C9435-EE,C9443-IC,C5597-Auto,C7933-CH
E3853,C5668-Civil,C6200-Auto,C0871-EC,C9118-EC,C7667-Civil,C2490-Civil,C5668-EC,C7667-EC,C4501-CH,C2525-IC
E1255,C2661-CH,C7168-CH,C9896-IC,C9763-ME,C9763-IC,C1376-Auto,C4501-CSE,C5111-CSE,C4790-EC,C0871-Civil
E1918,C5668-IT,C7168-ME,C7410-CSE,C9435-CH,C2490-Auto,C2220-Civil,C6900-CH,C5111-Auto,C6968-IT,C7933-IT
E0760,C7168-IT,C7667-IC,C8132-IC,C8895-ME,C4206-CH,C0060-CSE,C9712-IC,C9712-Civil,C6900-Civil,C2490-IT
E3025,C2525-EE,C5005-Civil,C4849-EE,C7667-EC,C8911-Auto,C6978-Auto,C6200-EC,C9015-IT,C8911-Auto,C9435-Auto
E9895,C7168-Auto,C5111-EC,C8132-CSE,C6968-EC,C9015-CH,C5005-CSE,C6879-CH,C6978-EC,C1510-Auto,C0871-Civil
E2431,C0871-ME,C8132-CH,C9896-EC,C1376-EC,C4340-IT,C8804-EE,C2525-EE,C8895-Auto,C6014-IC,C8132-EC
E1456,C9712-EC,C5597-EC,C1932-CSE,C6968-IT,C2525-IC,C7933-CH,C8911-EC,C4501-EE,C2310-CH,C7168-IC
E5379,C9435-ME,C6879-EE,C0060-CH,C4826-EC,C4790-CH,C2525-IC,C4790-CSE,C9435-EC,C4340-CSE,C7330-EE
E1627,C8132-EC,C2310-ME,C6014-Civil,C7933-Auto,C6978-CH,C1664-ME,C9435-CSE,C6900-Civil,C7410-EE,C5005-CSE
E5148,C7933-EE,C2490-Auto,C7168-Auto,C4340-EE,C1664-EC,C4849-Auto,C2490-CSE,C6968-EC,C9443-CSE,C4212-Civil
E4860,C1570-IC,C8911-EE,C2310-CSE,C0060-Auto,C7168-ME,C1664-ME,C7667-IT,C9763-Civil,C8895-EE,C7330-EE
E5854,C9015-ME,C4790-CSE,C1510-CSE,C2525-CH,C5597-IT,C1570-CH,C7510-EE,C4340-IT,C6200-ME,C6879-ME
E3644,C2220-Civil,C6968-CH,C8895-CSE,C9118-ME,C2310-Auto,C2661-ME,C8895-CH,C6879-EC,C6968-EC,C1376-CSE
E2436,C4501-CH,C9443-CH,C6014-EC,C6968-ME,C5005-Civil,C2010-Auto,C2490-CSE,C6900-Civil,C4206-IT,C6879-ME
E1907,C2800-Auto,C7410-CSE,C1570-CH,C2490-CH,C4849-ME,C1664-EC,C1570-Auto,C8895-Civil,C2525-IT,C1570-CH
E1806,C1470-IC,C5111-ME,C4790-CH,C4206-CH,C8895-CH,C7933-IC,C2490-CSE,C8804-EC,C4826-Auto,C6968-CH
E2834,C2220-EE,C1570-ME,C4849-Auto,C1932-IT,C8911-IT,C4849-CSE,C4790-EE,C1932-EC,C9763-CH,C6900-CH
E7686,C6900-CSE,C7510-EC,C4340-IC,C4790-EE,C4449-EC,C8804-IC,C8804-CH,C1570-EC,C2800-CH,C4340-EC
E3440,C2661-EC,C4501-CH,C4340-EC,C4212-CH,C7933-IT,C4790-IT,C7410-IC,C8895-CSE,C9443-EC,C0871-ME
E7440,C8911-Auto,C6200-CSE,C7510-EC,C6014-IC,C9118-IT,C4790-Auto,C6968-Auto,C9896-EE,C9712-CSE,C4790-EE
E4629,C1664-EE,C4790-CH,C1376-CH,C5111-EE,C2310-CSE,C6879-CSE,C9015-IC,C9763-CSE,C5668-EE,C1510-CSE
E8295,C1470-ME,C2525-CH,C0060-Civil,C4501-IC,C6968-CSE,C8911-IT,C9015-IT,C9896-CSE,C5111-IC,C1376-ME
E8698,C7933-EE,C5597-IT,C8895-CH,C2661-Auto,C4790-Auto,C9015-Civil,C9118-Civil,C1510-ME,C5111-CSE,C7667-IT
E5915,C5668-IC,C4826-EC,C1664-ME,C6978-CSE,C4501-Civil,C5597-Auto,C2800-Auto,C9443-CH,C1664-EC,C7330-Auto
E6292,C1510-CH,C1932-IT,C9896-CSE,C1376-Auto,C8132-EE,C2010-CH,C7330-Auto,C1570-CH,C1570-IC,C6968-EC
E3246,C4340-IT,C9443-CH,C6014-CH,C6879-EC,C7933-ME,C9435-CH,C9896-EC,C1510-ME,C2010-EE,C2010-IC
E4882,C1570-ME,C2220-IC,C1470-CSE,C5005-IC,C6014-EE,C4849-IT,C9443-Civil,C4790-Civil,C7410-IT,C0871-CH
E2316,C1570-CH,C1570-IC,C1510-Auto,C7933-EC,C2310-ME,C2220-EE,C4790-EE,C4212-Auto,C8804-ME,C1932-IT
E0316,C5597-Auto,C4212-IC,C7168-CSE,C1470-CH,C6900-CSE,C4501-IC,C2220-CSE,C8895-CSE,C2010-CH,C4206-Civil
E8123,C5005-ME,C7510-Civil,C0871-CH,C7667-Auto,C6014-ME,C8804-EE,C1376-CH,C5005-EE,C8911-Auto,C5597-ME
E8836,C9712-CSE,C6900-Civil,C8911-EC,C2310-EE,C4449-EE,C4501-IT,C4340-Auto,C7410-Auto,C9118-IT,C0060-IT
E9364,C6900-IC,C6978-ME,C1510-Civil,C2010-Civil,C2800-ME,C2310-IT,C9763-CSE,C9712-IC,C0871-EC,C4849-ME
E9291,C1376-Civil,C4212-Auto,C4340-CH,C1570-EE,C9712-IC,C7410-CH,C8804-ME,C2010-IC,C6014-Auto,C1470-Civil
E0329,C7933-IT,C2525-CH,C9763-Auto,C0871-IT,C4501-CSE,C4212-Auto,C8895-Auto,C2490-CSE,C0871-EE,C2800-CH
E5201,C4340-IT,C0060-EE,C2525-IC,C4206-Auto,C9118-EC,C1570-ME,C9896-IT,C4849-Civil,C8895-EC,C9443-CSE
E0717,C1376-Auto,C2010-IC,C6978-CH,C9118-Auto,C9015-Civil,C1376-IC,C1510-IC,C1376-Civil,C8132-CH,C4849-CSE
E1626,C7410-CH,C6879-EC,C4340-IC,C6879-Civil,C0871-EE,C9118-CH,C7410-EE,C7168-ME,C5005-ME,C7510-IT
E3035,C4212-CH,C1510-ME,C4501-ME,C6900-CH,C7330-EC,C8132-ME,C4826-EE,C7933-IC,C2661-CSE,C2490-Auto
E4759,C2310-CH,C5111-CSE,C4826-CSE,C4826-EE,C0871-EE,C2800-CH,C2661-Auto,C6968-IT,C5668-CH,C1470-IT
E7684,C7667-Auto,C2490-EC,C5111-EE,C6200-EE,C2010-CSE,C6978-IT,C1570-Civil,C7330-CH,C2310-EC,C9896-IC
E3189,C2525-IC,C9712-Civil,C4790-CH,C4449-CH,C6200-Auto,C4790-EE,C4501-IT,C9443-EE,C2800-Auto,C5668-IT
E9240,C8132-IC,C2310-CSE,C2525-CH,C1664-Civil,C2661-CH,C1376-IC,C6968-EE,C4826-CH,C6879-Auto,C4340-Auto
E3635,C9712-EE,C2490-Auto,C9712-IC,C4206-IC,C1470-ME,C2220-Auto,C8804-CH,C6879-Civil,C8911-CH,C6900-CSE
E3715,C1510-ME,C8911-CSE,C6879-ME,C7667-IT,C1376-ME,C8132-EC,C5668-IC,C6978-Civil,C4501-Auto,C7168-IT
E8180,C2490-CH,C7168-CSE,C4790-IT,C5111-IT,C1510-CH,C1376-Civil,C2220-IC,C8895-Auto,C0060-EE,C0871-EC
E9202,C7410-Auto,C8132-EC,C2310-EE,C9015-Civil,C5005-EE,C6200-IT,C4501-CH,C9896-Auto,C4340-CH,C2310-EC
E2418,C1932-EE,C2010-CSE,C2220-Auto,C8132-EC,C6968-CSE,C1470-EE,C1664-IC,C7168-IT,C7410-Auto,C1570-EC
E8421,C1570-EE,C6879-IT,C4206-IC,C1510-EE,C8895-CSE,C6200-EE,C5668-EE,C2800-CH,C2661-Civil,C5597-CH
E5569,C0060-CSE,C1570-CSE,C2661-Civil,C2800-Auto,C7410-Auto,C6968-Civil,C1664-Civil,C0060-CH,C1932-CH,C9896-EE
E2817,C2661-CH,C4790-EC,C6014-CH,C8132-ME,C2661-EC,C5668-Civil,C6014-CSE,C5111-IC,C1570-Civil,C7330-CSE
E9355,C5111-EE,C7168-ME,C9712-EE,C4340-Civil,C8804-EE,C8911-Civil,C4849-IC,C8911-CSE,C9896-CSE,C4790-EE
E2302,C6968-Civil,C9015-CSE,C7933-IC,C2010-CSE,C1510-ME,C5005-EE,C2525-Civil,C4449-EC,C7168-CSE,C9015-EE
E8696,C7667-EC,C1510-EC,C5668-Auto,C9896-EC,C2800-ME,C2525-ME,C4449-Auto,C7330-IT,C2525-Civil,C2800-IC
E8357,C2525-IT,C4340-IT,C4340-Auto,C4826-IT,C9118-Auto,C7410-EE,C6200-EE,C5668-CSE,C2010-CSE,C9712-Civil
E0636,C4826-EE,C4849-CSE,C1376-Auto,C8895-Auto,C4501-ME,C8132-Auto,C0060-IC,C6200-CH,C6879-IC,C6879-Civil
E6132,C1932-CSE,C5668-CH,C9443-EC,C4849-IC,C1664-IT,C2010-Civil,C8911-CH,C9896-EC,C4826-IT,C8132-IT
E8715,C8911-EC,C6968-EE,C1932-CH,C4849-EE,C8132-IT,C2310-EC,C8804-IC,C6900-ME,C0060-ME,C5597-ME
E6188,C1570-EE,C4849-CSE,C4206-Civil,C4340-IT,C5111-IT,C9443-IT,C1470-EC,C1510-CSE,C9435-CSE,C7410-EC
E6297,C0060-Civil,C8132-EE,C1376-IT,C1570-Auto,C4340-CH,C4212-EE,C4849-EE,C2490-CSE,C2310-EC,C4826-CSE
E4385,C1510-EE,C4449-IT,C1510-CSE,C4340-IT,C2220-Civil,C6978-CH,C6879-Civil,C4449-Auto,C6968-IC,C6978-CH
E4067,C8911-EC,C9712-CH,C5005-EC,C9896-Civil,C9435-EE,C6200-Civil,C9763-CSE,C8132-Civil,C7410-IC,C7510-EE
E5071,C4849-EE,C4790-ME,C8895-ME,C0060-IC,C5597-Auto,C2310-EE,C4826-EE,C2220-CH,C0871-Auto,C9443-Civil
E3178,C0060-Auto,C0060-IC,C2800-CSE,C5668-ME,C2220-IC,C9712-CH,C7168-Auto,C6968-CSE,C4340-IT,C2310-Civil
E7622,C4826-IT,C7933-Civil,C6200-CSE,C8132-IC,C4501-EC,C2661-CSE,C2490-CH,C7330-Auto,C9712-EE,C2310-EC
E6113,C4501-EC,C2220-Auto,C2310-ME,C9015-EC,C1664-EC,C1570-IT,C9896-EC,C4212-CH,C6978-Auto,C6879-Civil
E2258,C9015-IC,C2661-IC,C9118-CH,C9763-EC,C6968-ME,C2010-CH,C8911-Auto,C5111-CSE,C2661-IC,C9443-EE
E7868,C6879-IT,C6978-ME,C2010-CH,C9015-CSE,C6200-EE,C1470-Auto,C4849-EE,C2310-CSE,C1932-IT,C5111-Civil
E4490,C0871-CH,C1664-Auto,C9896-IT,C2525-IT,C1932-Auto,C1470-Civil,C8895-EE,C1376-IC,C5005-CH,C2800-Civil
E2634,C7933-Civil,C1376-Auto,C7410-CSE,C4340-ME,C9015-Auto,C2310-CH,C9896-EC,C6968-EC,C9763-ME,C4826-Civil
E6443,C9896-CSE,C4340-CH,C4826-EC,C5111-IT,C5668-IC,C5668-Auto,C1570-ME,C5005-EE,C2490-CH,C2220-Civil
E5697,C7510-CH,C7330-EC,C5111-IT,C1510-CH,C5597-Civil,C4206-CH,C7933-CH,C1510-CH,C7168-IT,C0871-Auto
E4680,C9435-EC,C1570-ME,C4826-IT,C4826-IT,C0871-EE,C2661-EE,C4790-Auto,C6014-CH,C4206-CH,C6978-EE
E0741,C6014-EE,C9896-IC,C4790-EC,C2490-CH,C9015-ME,C0060-EE,C6968-ME,C6014-IT,C7330-CH,C7410-Auto
E2877,C4501-EE,C6900-EC,C8895-IC,C6900-EE,C8804-EC,C2010-Auto,C1932-Civil,C6879-Civil,C9435-ME,C7410-IT
E7576,C7667-Civil,C7510-EE,C1470-Auto,C7510-IT,C4790-IC,C5597-Civil,C9443-CH,C2220-EE,C1932-EE,C5111-Auto
E8367,C6978-ME,C7667-EE,C4206-Auto,C9435-CH,C2661-IT,C9443-CH,C1932-EE,C6200-CH,C1470-Civil,C5005-CSE
E7982,C9118-CSE,C1932-Civil,C4501-IC,C7330-Auto,C9712-Auto,C7667-EC,C7667-ME,C0060-Civil,C6014-CSE,C1470-Civil
E1199,C7510-CSE,C6879-IC,C9763-EC,C9763-CSE,C8895-CSE,C7667-IC,C0871-CH,C4340-CH,C8895-EE,C1664-EE
E2555,C5005-Civil,C1664-Civil,C8804-ME,C6200-IT,C1376-EE,C7410-EE,C9015-CH,C4849-CH,C8895-EC,C6200-ME
E8547,C7410-EE,C9763-IT,C2310-IC,C1932-Civil,C2490-EE,C8911-CH,C9015-CH,C9896-CSE,C6968-EC,C2220-Auto
E9014,C4790-CH,C6879-EC,C9763-IC,C9763-Auto,C0871-ME,C9896-CSE,C7510-ME,C5111-EC,C2010-IT,C1470-CSE
E3276,C2800-ME,C7510-Civil,C4501-CSE,C1510-Civil,C6014-EE,C2490-Auto,C2661-CSE,C5668-ME,C2800-ME,C7168-ME
E1541,C6014-IT,C1570-ME,C0871-CH,C9435-Civil,C9118-EC,C9763-Auto,C2525-IT,C9712-ME,C4849-Auto,C1470-EE
E3198,C2220-CH,C7510-CSE,C7330-CSE,C5005-ME,C5597-CH,C6879-IC,C1932-Civil,C9443-Civil,C1376-CSE,C9435-EC
E8027,C0060-CSE,C6014-IC,C4206-CH,C6968-IT,C6014-Auto,C6200-CH,C1470-IC,C2220-EC,C1510-IC,C9712-Auto
E7451,C6968-EC,C5597-Civil,C4790-ME,C9896-CSE,C5597-IT,C2310-Civil,C9015-CSE,C7667-IC,C0060-Auto,C2490-CSE
E4983,C2525-EE,C8132-EE,C4206-IC,C6968-Civil,C2661-EC,C9443-EE,C8911-EE,C1376-IT,C9896-CSE,C4790-Auto
E8912,C7410-Auto,C9015-IC,C8895-Auto,C4790-Civil,C9763-EE,C5005-Auto,C7667-CSE,C0060-Auto,C4206-Auto,C4212-Auto
E2885,C5597-Civil,C7510-CH,C1570-EC,C5005-EE,C4790-ME,C6900-Auto,C9118-IC,C9896-EE,C1510-ME,C8911-EC
E5444,C2310-CH,C5668-ME,C9015-IT,C6879-EE,C9443-IT,C7330-Civil,C7667-CSE,C6014-Civil,C2661-CH,C6978-EE
E4942,C1664-CH,C8132-ME,C4501-IC,C9118-EC,C6900-Auto,C4849-IT,C2800-CSE,C9763-EE,C0871-Civil,C6879-EC
E4728,C2800-EC,C5668-EE,C0871-CSE,C7510-Civil,C7410-ME,C5597-Auto,C5668-IT,C4501-EE,C5005-ME,C2490-Civil
