EnrollmentNo,sub1,sub2,sub3,sub4,sub5,Total,Percentage
E0403,83,56,83,86,84,392,79
E1754,93,69,95,64,71,392,79
E9537,86,75,67,80,84,392,79
E2351,76,89,79,54,94,392,79
E1833,54,53,90,94,100,391,79
E7038,76,77,95,84,59,391,79
E5150,76,94,79,44,98,391,79
E6649,77,67,81,67,99,391,79
E9409,91,71,62,97,70,391,79
E1986,47,85,97,78,84,391,79
E1755,64,96,80,81,70,391,79
E1744,97,52,100,44,98,391,79
E8014,90,79,88,44,90,391,79
E0784,90,97,84,69,51,391,79
E1071,75,90,41,93,92,391,79
E8623,96,54,68,73,100,391,79
E6147,93,90,57,67,84,391,79
E5375,90,62,88,73,78,391,79
E4370,58,70,100,92,71,391,79
E8706,98,65,91,54,83,391,79
E7908,79,65,63,89,95,391,79
E7203,93,84,72,96,46,391,79
E4648,100,47,85,64,95,391,79
E5344,66,83,72,83,87,391,79
E7359,85,54,78,76,98,391,79
E3328,92,77,100,43,79,391,79
E2901,81,48,83,88,91,391,79
E7773,49,94,98,95,55,391,79
E4371,64,76,87,100,64,391,79
E7806,66,100,61,89,75,391,79
E1551,99,78,76,53,85,391,79
E7142,97,66,96,52,80,391,79
E2867,83,66,60,87,95,391,79
E0090,71,58,91,85,86,391,79
E1252,77,60,96,98,59,390,78
E4985,97,80,63,77,73,390,78
E9087,90,58,86,83,73,390,78
E2454,67,96,78,87,62,390,78
E1682,67,82,74,89,78,390,78
E6470,99,63,98,47,83,390,78
E2623,88,84,74,55,89,390,78
E9853,73,95,98,40,84,390,78
E1415,81,59,86,91,73,390,78
E9077,58,90,84,66,92,390,78
E5262,86,99,80,80,45,390,78
E2566,99,99,43,52,97,390,78
E7176,95,63,62,86,84,390,78
E7686,77,98,69,88,58,390,78
E9486,74,69,94,66,87,390,78
E4473,49,99,52,93,97,390,78
E1017,90,88,43,78,91,390,78
E1272,70,88,86,58,88,390,78
E3374,98,51,77,94,70,390,78
E6467,54,45,94,99,97,389,78
E4977,56,100,100,48,85,389,78
E7438,65,99,91,83,51,389,78
E1281,92,63,63,72,99,389,78
E0867,47,99,76,70,97,389,78
E7889,89,53,97,65,85,389,78
E0951,70,100,97,82,40,389,78
E1495,88,76,100,80,45,389,78
E2907,98,95,94,59,43,389,78
E1064,97,48,49,98,97,389,78
E3477,69,98,99,65,58,389,78
E3394,96,100,77,49,67,389,78
E6359,93,86,58,58,94,389,78
E3906,59,95,91,86,58,389,78
E3189,60,92,67,87,83,389,78
E5639,63,59,91,98,78,389,78
E1038,100,74,72,55,88,389,78
E7055,98,85,64,90,52,389,78
E8726,54,61,84,94,96,389,78
E2156,85,57,97,79,71,389,78
E1270,70,58,98,81,82,389,78
E3464,85,91,52,70,91,389,78
E0358,93,56,49,97,94,389,78
E1547,42,65,97,92,93,389,78
E4312,82,96,71,98,42,389,78
E4184,91,76,66,70,86,389,78
E4601,77,48,91,92,81,389,78
E5295,49,83,65,95,97,389,78
E7175,68,72,100,85,63,388,78
E2550,67,89,95,77,60,388,78
E8979,44,94,83,73,94,388,78
E2333,75,94,90,75,54,388,78
E7744,92,65,89,74,68,388,78
E4743,61,63,84,81,99,388,78
E7976,76,70,82,90,70,388,78
E5385,67,99,49,74,99,388,78
E7813,51,87,62,89,99,388,78
E7132,71,94,88,74,61,388,78
E9222,68,71,88,63,98,388,78
E9367,52,98,79,77,82,388,78
E3908,97,98,68,75,50,388,78
E8598,86,51,79,88,84,388,78
E7957,99,80,72,77,60,388,78
E6499,86,68,47,91,96,388,78
E4244,43,65,85,100,95,388,78
E7313,88,92,61,64,83,388,78
E8066,92,73,87,47,89,388,78
E6961,80,56,64,94,94,388,78
E6258,68,88,94,82,56,388,78
E8311,78,90,70,88,62,388,78
E9366,80,100,69,79,60,388,78
E1806,91,68,51,93,85,388,78
E7787,98,89,51,90,60,388,78
E8399,51,96,93,70,78,388,78
E7787,89,73,100,45,81,388,78
E1796,88,81,58,64,97,388,78
E9452,94,69,93,88,44,388,78
E5024,51,89,71,93,84,388,78
E3145,71,96,74,92,55,388,78
E1228,78,93,98,62,57,388,78
E8882,77,49,83,97,82,388,78
E8230,96,88,81,78,45,388,78
E0007,71,72,75,78,92,388,78
E1222,77,72,60,87,92,388,78
E3439,66,48,82,97,95,388,78
E7765,91,44,94,90,69,388,78
E0631,96,74,88,56,74,388,78
E1431,95,99,54,80,60,388,78
E7324,91,79,88,57,73,388,78
E1712,83,56,79,69,100,387,78
E8641,91,81,53,84,78,387,78
E8188,100,56,62,70,99,387,78
E3484,65,97,65,89,71,387,78
E5276,88,60,94,55,90,387,78
E0509,52,93,76,86,80,387,78
E2709,46,81,73,100,87,387,78
E6800,86,53,99,75,74,387,78
E4786,72,76,87,53,99,387,78
E6391,85,88,74,64,76,387,78
E8113,83,43,91,96,74,387,78
E3391,55,100,80,100,52,387,78
E2137,52,91,67,78,99,387,78
E8687,77,96,55,83,76,387,78
E9090,69,73,96,91,58,387,78
E0492,90,84,72,58,83,387,78
E8787,75,99,100,51,62,387,78
E1531,78,89,77,59,84,387,78
E5625,85,93,88,71,50,387,78
E0092,51,90,85,80,81,387,78
E1367,63,91,98,83,52,387,78
E2948,79,83,84,84,57,387,78
E4901,80,82,78,66,81,387,78
E1282,93,87,63,79,65,387,78
E1792,88,75,69,56,99,387,78
E4899,77,51,95,93,71,387,78
E4160,98,63,50,94,82,387,78
E8875,70,95,82,98,42,387,78
E9655,66,64,98,89,70,387,78
E6252,87,89,62,99,50,387,78
E9319,56,97,51,94,89,387,78
E0407,70,97,47,87,86,387,78
E4032,79,41,74,93,100,387,78
E7509,61,58,83,89,96,387,78
E2225,86,55,95,97,53,386,78
E3470,62,91,54,92,87,386,78
E2519,63,86,78,83,76,386,78
E4496,96,77,72,51,90,386,78
E8937,83,90,49,99,65,386,78
E4097,62,95,97,52,80,386,78
E0731,95,62,58,77,94,386,78
E4459,93,99,70,82,42,386,78
E9705,67,90,77,63,89,386,78
E6077,98,66,78,89,55,386,78
E7331,86,45,98,71,86,386,78
E2793,90,76,65,82,73,386,78
E7450,79,56,74,81,96,386,78
E2388,77,81,78,57,93,386,78
E0435,88,91,83,48,76,386,78
E3843,61,95,47,89,94,386,78
E0491,68,93,70,57,98,386,78
E8536,50,63,91,89,93,386,78
E3710,85,96,57,96,52,386,78
E5688,93,99,80,51,63,386,78
E5151,43,80,72,94,97,386,78
E2152,55,99,98,45,89,386,78
E5012,81,92,46,75,92,386,78
E0275,95,58,95,53,85,386,78
E9577,67,90,93,89,47,386,78
E6615,78,93,81,78,56,386,78
E1255,93,99,60,82,52,386,78
E4865,82,89,60,64,91,386,78
E2096,88,91,89,61,57,386,78
E2113,74,87,83,93,49,386,78
E7321,93,96,68,73,56,386,78
E6111,99,66,80,83,57,385,77
E6401,74,92,87,45,87,385,77
E0073,72,71,83,99,60,385,77
E0040,94,70,73,73,75,385,77
E1107,90,54,54,97,90,385,77
E3796,83,74,71,96,61,385,77
E6142,54,90,89,89,63,385,77
E5281,44,65,95,81,100,385,77
E5775,100,47,85,85,68,385,77
E1793,75,79,77,93,61,385,77
E4391,82,79,87,46,91,385,77
E1567,86,62,96,57,84,385,77
E6215,58,53,88,93,93,385,77
E8272,94,40,87,66,98,385,77
E5571,75,74,64,83,89,385,77
E2850,45,100,97,96,47,385,77
E8668,77,95,46,94,73,385,77
E3218,90,52,62,82,99,385,77
E4851,60,79,77,96,73,385,77
E6816,92,85,54,56,98,385,77
E2836,63,99,96,81,46,385,77
E1785,72,91,54,98,70,385,77
E8731,60,64,95,87,79,385,77
E8430,94,57,72,91,71,385,77
E8873,74,85,55,97,74,385,77
E7948,73,86,61,66,99,385,77
E6550,73,84,93,74,61,385,77
E0668,74,61,98,85,67,385,77
E5218,74,92,66,61,92,385,77
E0997,90,55,93,71,76,385,77
E3465,97,76,75,79,58,385,77
E7758,83,62,69,75,96,385,77
E3312,63,80,81,78,83,385,77
E6936,95,44,93,91,62,385,77
E1475,66,75,73,90,81,385,77
E8345,75,65,94,57,94,385,77
E3494,89,76,61,58,100,384,77
E2613,90,85,55,97,57,384,77
E8771,83,75,80,89,57,384,77
E8710,73,54,75,98,84,384,77
E0376,83,86,96,52,67,384,77
E6054,71,96,84,79,54,384,77
E3523,82,76,74,88,64,384,77
E9847,78,72,57,81,96,384,77
E0888,89,94,65,44,92,384,77
E4619,64,57,84,83,96,384,77
E5605,90,63,100,77,54,384,77
E7694,56,88,77,83,80,384,77
E3869,48,60,100,92,84,384,77
E5242,75,88,76,79,66,384,77
E2215,69,71,59,94,91,384,77
E3078,100,62,74,51,97,384,77
E1925,80,87,79,97,41,384,77
E9307,69,85,96,67,67,384,77
E3784,78,61,88,65,92,384,77
E4226,86,87,86,55,70,384,77
E7461,79,97,64,54,90,384,77
E7079,97,81,44,74,88,384,77
E0906,100,73,55,96,60,384,77
E0055,75,73,97,85,54,384,77
E0382,60,79,76,91,78,384,77
E9445,74,100,80,75,55,384,77
E0175,61,66,91,81,85,384,77
E3152,68,98,70,76,72,384,77
E8377,84,68,71,64,96,383,77
E1967,87,92,56,95,53,383,77
E1321,52,88,84,79,80,383,77
E1471,42,98,93,65,85,383,77
E9708,82,69,76,100,56,383,77
E1673,62,78,50,98,95,383,77
E3550,92,76,51,84,80,383,77
E2081,74,85,67,91,66,383,77
E8320,81,69,100,73,60,383,77
E5760,93,98,43,53,96,383,77
E0758,88,76,88,67,64,383,77
E8866,94,96,100,52,41,383,77
E8664,73,42,86,86,96,383,77
E7820,74,58,81,77,93,383,77
E3820,90,67,69,64,93,383,77
E5935,55,71,97,94,66,383,77
E9619,88,74,66,56,99,383,77
E8071,84,69,93,76,61,383,77
E7045,70,87,72,92,62,383,77
E0068,78,90,92,51,72,383,77
E3597,60,90,91,80,62,383,77
E6842,72,72,51,93,95,383,77
E8466,86,71,62,88,76,383,77
E0958,64,87,51,92,89,383,77
E8442,82,49,91,79,82,383,77
E3303,64,96,89,55,79,383,77
E5323,91,70,50,85,87,383,77
E6547,83,48,80,91,81,383,77
E3228,81,64,83,87,68,383,77
E1175,94,99,69,64,57,383,77
E7575,96,82,77,70,58,383,77
E2763,84,89,61,94,55,383,77
E1824,55,62,87,83,96,383,77
E0200,44,72,83,99,85,383,77
E3698,73,62,90,62,96,383,77
E1130,88,87,61,79,68,383,77
E8937,41,99,98,78,67,383,77
E6083,95,82,64,66,76,383,77
E4173,92,89,76,41,85,383,77
E0885,91,54,84,80,74,383,77
E2277,64,100,84,60,74,382,77
E5889,92,100,80,55,55,382,77
E4504,91,92,87,66,46,382,77
E6835,60,83,85,59,95,382,77
E2373,82,68,55,97,80,382,77
E3496,95,66,61,64,96,382,77
E7304,79,84,74,95,50,382,77
E8762,59,81,79,89,74,382,77
E7695,44,94,98,69,77,382,77
E6741,41,89,99,91,62,382,77
E0653,62,54,96,79,91,382,77
E1266,95,44,68,79,96,382,77
E6785,78,84,95,42,83,382,77
E7547,65,88,56,86,87,382,77
E3552,75,73,99,42,93,382,77
E1167,58,50,100,99,75,382,77
E5788,86,76,83,43,94,382,77
E9743,45,74,69,96,98,382,77
E2249,98,61,50,77,96,382,77
E2317,64,76,50,92,100,382,77
E6891,88,54,97,88,55,382,77
E9612,78,92,86,81,45,382,77
E5800,73,91,97,75,46,382,77
E4552,80,91,85,53,73,382,77
E7532,75,77,98,47,85,382,77
E4738,95,57,43,99,88,382,77
E3566,92,59,69,68,94,382,77
E3603,66,76,94,91,55,382,77
E9147,82,100,64,43,93,382,77
E2399,89,82,41,98,72,382,77
E9001,63,70,81,82,86,382,77
E6645,82,73,93,51,83,382,77
E3012,79,68,61,84,90,382,77
E4273,65,86,73,82,76,382,77
E2822,92,78,76,55,81,382,77
E1652,87,52,60,83,100,382,77
E3322,55,80,75,79,93,382,77
E5890,77,94,50,79,82,382,77
E8889,99,93,60,58,72,382,77
E0533,73,60,81,89,78,381,77
E2157,77,57,83,90,74,381,77
E1322,53,89,91,98,50,381,77
E9864,98,74,79,70,60,381,77
E3435,91,69,74,70,77,381,77
E8582,98,78,40,65,100,381,77
E0675,81,100,90,42,68,381,77
E5539,88,78,89,41,85,381,77
E0714,98,57,98,83,45,381,77
E4331,67,74,95,78,67,381,77
E1107,89,89,52,74,77,381,77
E9012,92,73,62,54,100,381,77
E3853,48,86,67,94,86,381,77
E1255,41,90,90,65,95,381,77
E1918,99,41,96,89,56,381,77
E0760,78,88,77,74,64,381,77
E3025,78,77,43,100,83,381,77
E9895,74,93,82,79,53,381,77
E2431,73,55,80,96,77,381,77
E1456,87,87,81,54,72,381,77
E5379,57,90,96,91,47,381,77
E1627,77,88,75,49,92,381,77
E5148,87,52,79,96,67,381,77
E4860,52,84,97,56,92,381,77
E5854,63,48,76,99,95,381,77
E3644,79,98,53,79,72,381,77
E2436,56,85,76,73,91,381,77
E1907,73,86,69,96,57,381,77
E1806,74,48,85,98,76,381,77
E2834,70,85,96,67,63,381,77
E7686,93,62,100,69,57,381,77
E3440,63,75,97,99,47,381,77
E7440,71,43,95,93,79,381,77
E4629,85,98,42,93,63,381,77
E8295,94,73,89,66,59,381,77
E8698,75,95,66,96,49,381,77
E5915,66,68,93,91,63,381,77
E6292,54,75,95,87,70,381,77
E3246,88,48,97,88,60,381,77
E4882,56,81,71,83,90,381,77
E2316,78,79,71,96,56,380,76
E0316,83,73,67,75,82,380,76
E8123,94,88,60,40,98,380,76
E8836,95,52,59,78,96,380,76
E9364,75,55,59,100,91,380,76
E9291,79,64,63,81,93,380,76
E0329,75,71,94,50,90,380,76
E5201,84,69,92,62,73,380,76
E0717,79,63,69,88,81,380,76
E1626,71,88,97,76,48,380,76
E3035,98,45,86,95,56,380,76
E4759,100,62,66,100,52,380,76
E7684,94,64,43,85,94,380,76
E3189,63,70,81,83,83,380,76
E9240,99,62,49,91,79,380,76
E3635,91,54,81,56,98,380,76
E3715,75,82,65,64,94,380,76
E8180,67,58,98,86,71,380,76
E9202,100,80,100,41,59,380,76
E2418,88,92,72,79,49,380,76
E8421,78,56,97,52,97,380,76
E5569,76,97,56,54,97,380,76
E2817,95,40,63,92,90,380,76
E9355,100,82,82,74,42,380,76
E2302,56,82,56,92,94,380,76
E8696,71,69,94,66,80,380,76
E8357,91,100,73,43,73,380,76
E0636,60,88,81,61,90,380,76
E6132,83,90,44,91,72,380,76
E8715,90,64,84,85,57,380,76
E6188,52,83,96,48,100,379,76
E6297,72,100,67,99,41,379,76
E4385,57,96,86,40,100,379,76
E4067,87,95,53,85,59,379,76
E5071,63,45,99,94,78,379,76
E3178,87,63,73,58,98,379,76
E7622,53,96,94,48,88,379,76
E6113,70,79,75,95,60,379,76
E2258,93,69,73,80,64,379,76
E7868,81,58,96,63,81,379,76
E4490,55,69,99,77,79,379,76
E2634,100,47,62,75,95,379,76
E6443,78,97,66,41,97,379,76
E5697,88,98,55,60,78,379,76
E4680,76,94,75,43,91,379,76
E0741,88,79,83,55,74,379,76
E2877,99,48,83,68,81,379,76
E7576,69,58,64,96,92,379,76
E8367,64,56,81,80,98,379,76
E7982,57,100,90,59,73,379,76
E1199,68,81,82,81,67,379,76
E2555,84,96,74,83,42,379,76
E8547,74,98,78,67,62,379,76
E9014,93,50,91,99,46,379,76
E3276,79,58,77,81,84,379,76
E1541,70,75,55,85,94,379,76
E3198,64,58,99,61,97,379,76
E8027,90,61,55,91,82,379,76
E7451,84,90,84,75,46,379,76
E4983,63,91,68,66,91,379,76
E8912,82,95,57,95,50,379,76
E2885,88,64,93,94,40,379,76
E5444,84,99,75,67,54,379,76
E4942,98,70,56,79,76,379,76
E4728,71,85,85,94,44,379,76
E7336,49,68,88,99,75,379,76
E6581,65,89,80,84,60,378,76
E0127,50,70,76,95,87,378,76
E2833,69,99,62,89,59,378,76
E4296,80,56,83,72,87,378,76
E9166,97,80,67,43,91,378,76
E4630,94,93,48,63,80,378,76
E4200,55,67,100,59,97,378,76
E3986,81,91,62,47,97,378,76
E1139,69,91,92,79,47,378,76
E4115,73,80,51,81,93,378,76
E6767,48,64,78,92,96,378,76
E4375,85,75,97,47,74,378,76
E2323,65,78,90,77,68,378,76
E2922,83,78,83,73,61,378,76
E9734,81,95,57,55,90,378,76
E2800,97,50,65,89,77,378,76
E6936,92,97,78,69,42,378,76
E9779,80,65,71,81,81,378,76
E6396,60,95,50,81,92,378,76
E1677,70,74,98,51,85,378,76
E4022,83,78,75,90,52,378,76
E7362,65,79,99,55,80,378,76
E9215,53,97,74,86,68,378,76
E7991,88,94,87,68,41,378,76
E5241,64,98,65,90,61,378,76
E1107,67,66,97,93,55,378,76
E2940,81,56,78,89,74,378,76
E9570,69,89,82,53,85,378,76
E8081,55,77,99,75,72,378,76
E5623,75,79,70,65,89,378,76
E4766,40,92,58,89,99,378,76
E1014,90,81,88,73,46,378,76
E7930,70,51,85,84,88,378,76
E3943,78,90,78,84,48,378,76
E9590,87,89,90,65,47,378,76
E6347,70,50,99,65,94,378,76
E6470,87,53,79,65,94,378,76
E2491,84,74,97,40,83,378,76
E9043,69,77,56,85,90,377,76
E0522,65,68,71,76,97,377,76
E2764,94,84,47,63,89,377,76
E8842,96,72,79,59,71,377,76
E0492,66,77,100,69,65,377,76
E5874,95,93,53,42,94,377,76
E8055,84,88,61,76,68,377,76
E3368,71,69,86,55,96,377,76
E0806,83,87,55,56,96,377,76
E6206,78,78,80,72,69,377,76
E9145,53,87,91,51,95,377,76
E9631,49,95,72,89,72,377,76
E4207,62,79,95,69,72,377,76
E9874,75,71,53,91,87,377,76
E9398,76,60,97,85,59,377,76
E6109,84,44,97,94,58,377,76
E7542,52,92,65,78,90,377,76
E8132,58,97,85,47,90,377,76
E6231,52,74,100,79,72,377,76
E0256,76,48,70,89,94,377,76
E5171,68,87,66,98,58,377,76
E5991,41,96,100,50,90,377,76
E6995,74,58,50,95,100,377,76
E2001,83,84,84,42,84,377,76
E9048,59,77,97,53,91,377,76
E8656,81,75,78,65,78,377,76
E3776,53,94,99,45,86,377,76
E8986,95,46,95,94,47,377,76
E5227,83,65,64,81,84,377,76
E0846,93,43,76,94,71,377,76
E3447,82,50,83,91,71,377,76
E1504,81,95,96,64,41,377,76
E4643,65,89,84,82,57,377,76
E1487,54,72,87,65,99,377,76
E1203,99,100,49,43,86,377,76
E0886,59,96,78,52,91,376,76
E5248,63,85,93,48,87,376,76
E7535,70,95,55,98,58,376,76
E9424,43,91,69,94,79,376,76
E5129,98,61,46,76,95,376,76
E0063,56,84,78,63,95,376,76
E8372,61,50,80,88,97,376,76
E1723,94,55,71,76,80,376,76
E8307,47,68,84,100,77,376,76
E6097,71,91,47,95,72,376,76
E5686,63,84,85,54,90,376,76
E5798,95,57,82,94,48,376,76
E1278,97,59,85,63,72,376,76
E1936,47,71,75,88,95,376,76
E6299,60,73,97,78,68,376,76
E9859,58,63,80,84,91,376,76
E5726,82,64,70,88,72,376,76
E3347,81,41,89,85,80,376,76
E2318,96,47,62,96,75,376,76
E0019,68,41,97,88,82,376,76
E2526,79,56,94,71,76,376,76
E5428,82,99,76,76,43,376,76
E9453,60,90,59,67,100,376,76
E4599,42,93,87,87,67,376,76
E7022,71,81,78,59,87,376,76
E8198,94,55,72,75,80,376,76
E6498,41,64,80,92,99,376,76
E6425,44,67,92,77,96,376,76
E5961,46,67,79,100,84,376,76
E5349,90,70,77,93,46,376,76
E2262,51,88,74,92,71,376,76
E2355,43,100,92,94,47,376,76
E0701,48,87,84,79,78,376,76
E8799,74,57,80,95,70,376,76
E2382,88,54,63,77,94,376,76
E6907,71,76,74,79,76,376,76
E4675,44,54,95,87,96,376,76
E1532,74,79,86,96,41,376,76
E7271,93,95,82,53,53,376,76
E0705,88,89,76,65,58,376,76
E0745,95,80,40,74,87,376,76
E3341,74,88,97,40,77,376,76
E6264,43,67,81,99,85,375,75
E2185,50,79,71,95,80,375,75
E5850,88,41,71,98,77,375,75
E7165,68,72,99,88,48,375,75
E6958,100,98,55,51,71,375,75
E6304,59,56,98,74,88,375,75
E6769,77,53,70,91,84,375,75
E9947,73,90,60,57,95,375,75
E6568,90,62,89,54,80,375,75
E2729,85,65,98,53,74,375,75
E8805,67,67,87,92,62,375,75
E3183,58,98,66,97,56,375,75
E6433,77,67,66,95,70,375,75
E0660,67,47,91,96,74,375,75
E8336,90,61,51,98,75,375,75
E9991,96,86,42,77,74,375,75
E9885,72,91,46,68,98,375,75
E6135,79,59,94,62,81,375,75
E8427,70,79,70,66,90,375,75
E4860,100,96,57,73,49,375,75
E1295,92,92,56,44,91,375,75
E7962,78,61,92,50,94,375,75
E8655,90,91,93,59,42,375,75
E5236,99,64,44,82,86,375,75
E0452,90,71,85,74,55,375,75
E0481,60,58,93,69,95,375,75
E3015,49,68,78,87,93,375,75
E0559,79,50,77,91,78,375,75
E9406,78,64,75,78,80,375,75
E7145,78,70,96,86,45,375,75
E9791,49,88,74,64,100,375,75
E2416,73,62,85,62,93,375,75
E6112,66,77,97,51,84,375,75
E7852,63,85,55,100,72,375,75
E3382,61,97,80,57,80,375,75
E1997,95,56,94,88,42,375,75
E1399,83,82,63,75,72,375,75
E4033,63,89,75,69,79,375,75
E7888,70,82,62,66,95,375,75
E2601,40,76,86,95,78,375,75
E0483,71,57,85,82,80,375,75
E8402,94,91,90,48,52,375,75
E1878,95,59,88,67,66,375,75
E5342,51,68,98,79,79,375,75
E1681,87,98,60,49,81,375,75
E5992,84,97,56,93,45,375,75
E8776,62,73,93,88,59,375,75
E8939,100,92,85,46,52,375,75
E7781,52,97,78,98,50,375,75
E6982,63,53,66,94,98,374,75
E2752,54,98,97,40,85,374,75
E8474,88,64,100,51,71,374,75
E8459,100,80,73,74,47,374,75
E9734,42,93,65,80,94,374,75
E3540,61,89,69,61,94,374,75
E8746,69,78,91,84,52,374,75
E8186,100,56,67,81,70,374,75
E7326,48,67,97,100,62,374,75
E5427,99,50,68,84,73,374,75
E8132,71,57,97,91,58,374,75
E1519,45,77,94,62,96,374,75
E2310,94,89,65,55,71,374,75
E5954,51,75,88,80,80,374,75
E6738,95,65,50,90,74,374,75
E2509,50,76,74,84,90,374,75
E7769,95,59,55,68,97,374,75
E6574,71,63,89,96,55,374,75
E0011,56,60,94,96,68,374,75
E1683,87,64,44,87,92,374,75
E5607,66,56,72,92,88,374,75
E2272,83,55,90,95,51,374,75
E5751,72,56,66,91,89,374,75
E1936,85,90,60,95,44,374,75
E1840,60,64,83,82,85,374,75
E6581,95,42,71,69,97,374,75
E0367,82,47,71,74,100,374,75
E1649,48,52,79,96,99,374,75
E0527,63,89,81,79,62,374,75
E6311,48,50,78,98,100,374,75
E2565,70,76,88,98,42,374,75
E2126,63,57,89,85,80,374,75
E0299,90,45,83,89,67,374,75
E9834,96,99,88,47,44,374,75
E1201,77,80,92,41,84,374,75
E6193,51,100,86,58,79,374,75
E8546,47,87,84,56,100,374,75
E1744,98,69,40,93,74,374,75
E8174,93,67,78,65,71,374,75
E6291,95,62,93,48,76,374,75
E8428,65,84,94,77,54,374,75
E8278,42,92,83,78,79,374,75
E3834,90,81,44,59,100,374,75
E6787,94,62,77,100,41,374,75
E3489,54,71,52,97,100,374,75
E4800,45,78,86,71,94,374,75
E7400,97,68,68,75,66,374,75
E2253,79,87,69,83,56,374,75
E8239,92,55,59,82,86,374,75
E2251,94,99,45,84,51,373,75
E9528,54,81,53,95,90,373,75
E3821,76,43,80,92,82,373,75
E7378,61,66,61,90,95,373,75
E7470,87,60,67,93,66,373,75
E9514,97,65,54,59,98,373,75
E3784,47,82,79,71,94,373,75
E5606,63,49,94,74,93,373,75
E9345,54,78,99,67,75,373,75
E9349,79,98,64,70,62,373,75
E9538,58,91,73,74,77,373,75
E0531,86,59,93,59,76,373,75
E8012,71,93,91,42,76,373,75
E6536,41,87,94,93,58,373,75
E4958,65,78,59,77,94,373,75
E9791,93,42,91,71,76,373,75
E0010,64,85,84,59,81,373,75
E0862,60,66,87,84,76,373,75
E4362,62,55,98,61,97,373,75
E3603,61,86,45,100,81,373,75
E1825,79,73,52,88,81,373,75
E0839,58,79,67,85,84,373,75
E0952,49,93,88,97,46,373,75
E3669,51,76,49,98,99,373,75
E5410,60,95,68,98,52,373,75
E4607,75,100,74,74,50,373,75
E1600,86,58,65,64,100,373,75
E2369,98,51,57,74,93,373,75
E7342,74,83,57,77,82,373,75
E8010,57,95,95,53,73,373,75
E7526,63,63,89,83,75,373,75
E8141,59,71,94,54,95,373,75
E0545,48,84,92,94,55,373,75
E1988,78,66,77,93,59,373,75
E4463,83,89,88,56,57,373,75
E9342,92,72,59,62,88,373,75
E2664,85,84,84,49,71,373,75
E2204,45,84,91,92,61,373,75
E7932,74,76,59,80,83,372,75
E8640,49,61,94,76,92,372,75
E7026,62,85,72,78,75,372,75
E4494,86,57,86,67,76,372,75
E1163,76,92,59,87,58,372,75
E3273,43,93,83,88,65,372,75
E0888,80,77,79,93,43,372,75
E5145,87,63,53,70,99,372,75
E3510,83,65,46,98,80,372,75
E5112,65,40,89,92,86,372,75
E7939,82,78,97,68,47,372,75
E1144,89,60,62,84,77,372,75
E1876,93,54,54,89,82,372,75
E0503,80,73,60,91,68,372,75
E5262,63,78,91,55,85,372,75
E2266,88,47,83,100,54,372,75
E1026,96,57,78,73,68,372,75
E5493,81,46,76,96,73,372,75
E2659,79,41,76,93,83,372,75
E7466,69,90,87,71,55,372,75
E4916,94,91,58,88,41,372,75
E3675,88,75,85,77,47,372,75
E7629,58,76,68,83,87,372,75
E1285,79,87,71,77,58,372,75
E6369,61,85,75,53,98,372,75
E5627,79,59,94,59,81,372,75
E0197,74,69,69,92,68,372,75
E5445,98,61,79,61,73,372,75
E7213,68,95,80,47,82,372,75
E4457,76,94,47,58,97,372,75
E2895,74,55,91,70,82,372,75
E4884,58,91,70,55,98,372,75
E9655,64,86,53,71,98,372,75
E6580,80,73,85,76,58,372,75
E6224,61,96,75,84,56,372,75
E7795,74,91,84,48,75,372,75
E7658,91,64,45,100,72,372,75
E3514,76,44,80,79,93,372,75
E4831,61,93,88,49,81,372,75
E3367,93,69,81,42,87,372,75
E3458,97,88,43,97,47,372,75
E1371,68,63,87,96,58,372,75
E3904,71,83,67,90,61,372,75
E8811,86,60,92,40,93,371,75
E5276,66,65,63,84,93,371,75
E9197,94,69,80,67,61,371,75
E7660,64,65,97,55,90,371,75
E5180,42,96,89,100,44,371,75
E7178,84,74,93,68,52,371,75
E9653,71,93,91,67,49,371,75
E1731,78,69,43,91,90,371,75
E3768,51,100,70,85,65,371,75
E3667,95,87,70,74,45,371,75
E8073,82,79,60,66,84,371,75
E0692,64,86,96,43,82,371,75
E1147,83,76,86,49,77,371,75
E2675,98,48,100,49,76,371,75
E9372,83,82,80,41,85,371,75
E8429,77,92,62,89,51,371,75
E4243,88,74,69,70,70,371,75
E6719,84,46,70,75,96,371,75
E8967,89,80,94,50,58,371,75
E1760,60,65,76,80,90,371,75
E6761,97,49,65,66,94,371,75
E1388,61,92,90,61,67,371,75
E3692,67,44,80,95,85,371,75
E8896,90,73,88,57,63,371,75
E8051,49,80,47,97,98,371,75
E4889,96,53,73,81,68,371,75
E7571,97,50,42,85,97,371,75
E5001,91,51,79,62,88,371,75
E6496,70,54,97,54,96,371,75
E7988,73,73,79,88,58,371,75
E8326,86,54,64,82,85,371,75
E2147,97,100,47,63,64,371,75
E6946,92,81,51,83,64,371,75
E4888,92,48,67,79,85,371,75
E0488,42,82,73,96,78,371,75
E5769,51,65,92,95,67,370,74
E3520,48,100,81,71,70,370,74
E6219,50,81,99,70,70,370,74
E1798,75,95,91,48,61,370,74
E8465,63,59,70,92,86,370,74
E3099,84,77,59,55,95,370,74
E3311,91,67,47,78,87,370,74
E4649,73,93,69,53,82,370,74
E8444,89,69,69,71,72,370,74
E8725,60,82,93,69,66,370,74
